Datetime,Temperature,FeelsLike,Dew,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip.,Condition,Day/Night,Clouds
2014-01-01 00:00,27,16,6,41,WNW,14,24,30.26,,Fair,N,CLR
2014-01-01 01:00,26,13,4,39,W,17,28,30.27,,Fair,N,CLR
2014-01-01 02:00,25,13,6,45,WNW,15,22,30.29,,Fair,N,CLR
2014-01-01 03:00,25,13,6,45,W,15,21,30.32,,Fair,N,CLR
2014-01-01 04:00,25,14,6,45,W,13,,30.33,,Fair,N,CLR
2014-01-01 05:00,25,14,5,43,W,13,21,30.34,,Fair,N,CLR
2014-01-01 06:00,25,15,7,46,W,10,20,30.35,,Mostly Cloudy,N,BKN
2014-01-01 07:00,26,16,8,47,WSW,10,20,30.36,,Mostly Cloudy,N,BKN
2014-01-01 08:00,27,18,11,51,W,9,,30.37,,Mostly Cloudy,N,BKN
2014-01-01 09:00,29,19,13,51,W,13,20,30.38,,Mostly Cloudy,D,BKN
2014-01-01 10:00,29,19,11,47,WNW,12,20,30.39,,Mostly Cloudy,D,BKN
2014-01-01 11:00,30,21,13,49,NW,10,,30.38,,Mostly Cloudy,D,BKN
2014-01-01 12:00,30,22,12,47,WNW,9,,30.36,,Mostly Cloudy,D,BKN
2014-01-01 13:00,31,24,13,47,W,7,,30.34,,Mostly Cloudy,D,BKN
2014-01-01 14:00,32,24,15,50,SW,9,,30.33,,Cloudy,D,OVC
2014-01-01 15:00,32,,15,50,CALM,,,30.31,,Cloudy,D,OVC
2014-01-01 16:00,33,33,15,48,CALM,,,30.31,,Cloudy,D,OVC
2014-01-01 17:00,33,33,16,50,CALM,,,30.31,,Cloudy,D,OVC
2014-01-01 18:00,33,33,16,50,ENE,3,,30.31,,Cloudy,N,OVC
2014-01-01 19:00,32,27,17,54,NNE,5,,30.31,,Cloudy,N,OVC
2014-01-01 20:00,32,24,18,56,E,9,,30.3,,Cloudy,N,OVC
2014-01-01 21:00,31,24,17,57,E,7,,30.29,,Cloudy,N,OVC
2014-01-01 22:00,32,24,17,54,E,9,,30.27,,Cloudy,N,OVC
2014-01-01 23:00,32,24,19,59,E,10,,30.26,,Cloudy,N,OVC
2014-01-02 00:00,32,23,19,59,ENE,12,,30.24,,Cloudy,N,OVC
2014-01-02 01:00,32,23,20,61,ENE,12,,30.21,,Cloudy,N,OVC
2014-01-02 02:00,32,21,20,61,ENE,16,,30.19,,Cloudy,N,OVC
2014-01-02 03:00,32,22,22,66,ENE,15,,30.17,,Cloudy,N,OVC
2014-01-02 04:00,30,17,24,79,NE,23,,30.15,0.0,Cloudy / Windy,N,OVC
2014-01-02 05:00,28,15,24,85,NE,21,26,30.13,0.0,Cloudy / Windy,N,OVC
2014-01-02 06:00,27,15,23,85,NE,16,23,30.11,0.01,Cloudy,N,OVC
2014-01-02 07:00,27,15,22,81,NNE,15,23,30.1,0.0,Cloudy,N,OVC
2014-01-02 08:00,27,12,22,81,NE,23,30,30.08,,Cloudy / Windy,N,OVC
2014-01-02 09:00,27,14,21,78,NE,18,29,30.08,,Cloudy,D,OVC
2014-01-02 10:00,27,12,21,78,NE,24,,30.06,,Cloudy / Windy,D,OVC
