iter	Logloss
0	0.6894566652
1	0.6865617907
2	0.6846847409
3	0.6830621643
4	0.6817981651
5	0.6808318573
6	0.6800596556
7	0.679507958
8	0.6789813777
9	0.6785941789
10	0.678259304
11	0.6778999139
12	0.6776427489
13	0.6773264769
14	0.6771048629
15	0.6769078897
16	0.676741529
17	0.6765932185
18	0.6763490817
19	0.676152769
20	0.6760651887
21	0.6759718445
22	0.6758488486
23	0.6756661472
24	0.6755177271
25	0.6754200697
26	0.6753523132
27	0.6751992203
28	0.6750858571
29	0.6749917233
30	0.6749113312
31	0.6748232828
32	0.6747664975
33	0.6746727988
34	0.6746060088
35	0.6745338449
36	0.6744862364
37	0.6744034694
38	0.6743406758
39	0.6742723635
40	0.6741809281
41	0.6741180425
42	0.6740393344
43	0.673990143
44	0.67393719
45	0.6738837316
46	0.6738225769
47	0.673781782
48	0.6737073255
49	0.6736689259
50	0.6736502976
51	0.6735834683
52	0.6735144505
53	0.6734811496
54	0.673448405
55	0.6734082409
56	0.6733518484
57	0.6732685512
58	0.6732173546
59	0.6731475047
60	0.6731192685
61	0.6730656542
62	0.6729560435
63	0.6728818159
64	0.6728407523
65	0.6728083633
66	0.6727773209
67	0.6727114823
68	0.6726668552
69	0.6726268783
70	0.6725643142
71	0.6724548318
72	0.6723887905
73	0.67232018
74	0.6722832235
75	0.6722153793
76	0.6721303648
77	0.6720897045
78	0.6720304335
79	0.671977723
80	0.6719156398
81	0.6718663961
82	0.6718246518
83	0.6717682961
84	0.6716986155
85	0.6716111529
86	0.671530352
87	0.6714859581
88	0.6713964953
89	0.671355196
90	0.6712977398
91	0.6712241793
92	0.6711501273
93	0.6710807887
94	0.6710315317
95	0.6709507175
96	0.6708719821
97	0.6708286474
98	0.6707649978
99	0.6707042805
100	0.6706214382
101	0.6705517831
102	0.6704924122
103	0.6704411064
104	0.6703981331
105	0.6703317044
106	0.670272535
107	0.6702205266
108	0.6701568547
109	0.6700977843
110	0.6700536952
111	0.6699969488
112	0.6699642372
113	0.6698976213
114	0.6698584744
115	0.6698070412
116	0.6697708867
117	0.6697181391
118	0.669674177
119	0.6696273139
120	0.6695836921
121	0.6695290364
122	0.669493093
123	0.6694276432
124	0.6693774622
125	0.6693351485
126	0.6692796902
127	0.6692425495
128	0.6691941066
129	0.6691457133
130	0.6691112104
131	0.6690440304
132	0.6689915748
133	0.6689633412
134	0.6689218938
135	0.6688741817
136	0.6688380815
137	0.6687792187
138	0.6687179411
139	0.6686561904
140	0.6686153691
141	0.6685558507
142	0.6684989753
143	0.6684548648
144	0.6684173116
145	0.6683811013
146	0.6683444021
147	0.6682995883
148	0.6682678134
149	0.668214449
150	0.668173563
151	0.668129442
152	0.6680836478
153	0.6680450754
154	0.6680008047
155	0.6679529165
156	0.6679102817
157	0.6678645065
158	0.6678229708
159	0.6677852783
160	0.6677319487
