iter	Passed	Remaining
0	248	248071
1	465	232168
2	702	233602
3	1035	257869
4	1285	255844
5	1564	259135
6	1771	251293
7	1986	246324
8	2170	238977
9	2315	229253
10	2498	224593
11	2645	217792
12	2821	214191
13	2954	208058
14	3100	203605
15	3272	201268
16	3526	203909
17	3846	209831
18	4241	219011
19	4575	224202
20	5026	234342
21	5727	254630
22	6281	266831
23	6534	265753
24	6833	266489
25	7042	263806
26	7327	264053
27	7720	268022
28	8042	269286
29	8380	270961
30	8639	270045
31	8935	270293
32	9163	268510
33	9395	266939
34	9660	266341
35	9804	262550
36	9976	259659
37	10154	257080
38	10330	254559
39	10515	252377
40	10691	250086
41	10862	247762
42	11007	244973
43	11190	243146
44	11409	242140
45	11597	240523
46	11784	238945
47	11962	237254
48	12165	236116
49	12624	239866
50	12860	239298
51	13152	239772
52	13402	239481
53	13753	240948
54	14077	241879
55	14391	242601
56	14803	244908
57	15076	244869
58	15343	244711
59	15602	244433
60	15870	244293
61	16130	244038
62	16358	243302
63	16587	242592
64	16887	242915
65	17159	242838
66	17394	242227
67	17613	241409
68	17886	241337
69	18106	240558
70	18507	242159
71	19116	246392
72	19611	249035
73	19899	249013
74	20515	253025
75	21139	257016
76	21604	258974
77	22018	260273
78	22460	261846
79	22737	261478
80	22899	259806
81	23049	258039
82	23228	256635
83	23378	254935
84	23558	253597
85	23749	252406
86	23903	250854
87	24098	249744
88	24246	248187
89	24449	247215
90	24667	246406
91	24804	244808
92	24980	243625
93	25149	242394
94	25329	241295
95	25477	239914
96	25637	238665
97	25841	237843
98	26050	237088
99	26248	236232
100	26428	235242
101	26605	234229
102	26807	233459
103	27091	233401
104	27258	232343
105	27483	231792
106	27701	231191
107	27897	230409
108	28079	229531
109	28268	228719
110	28448	227840
111	28643	227098
112	28808	226136
113	28982	225249
114	29161	224419
115	29354	223701
116	29517	222769
117	29665	221739
118	29853	221018
119	30021	220156
120	30191	219324
121	30363	218519
122	30545	217795
123	30675	216705
124	30853	215977
125	31037	215293
126	31208	214528
127	31381	213785
128	31519	212815
129	31707	212195
130	31875	211450
131	32051	210760
132	32243	210189
133	32408	209447
134	32580	208757
135	32751	208067
136	32934	207466
137	33096	206730
138	33266	206058
139	33428	205348
140	33605	204731
141	33741	203872
142	33909	203221
143	34095	202677
144	34262	202032
145	34464	201593
146	34671	201189
147	34863	200701
148	35056	200221
149	35240	199696
150	35458	199363
151	35662	198959
152	35839	198405
153	36070	198151
154	36285	197813
155	36466	197295
156	36613	196595
157	36849	196376
158	37031	195871
159	37227	195444
160	37425	195028
