iter	Logloss
0	0.6833800913
1	0.6788270203
2	0.6769796036
3	0.6751593198
4	0.6740979454
5	0.6729422634
6	0.6721249533
7	0.671523395
8	0.6708665767
9	0.6704941865
10	0.6699538231
11	0.6694609702
12	0.6691993265
13	0.6684403627
14	0.6679878186
15	0.6672552053
16	0.6667730714
17	0.6664579746
18	0.6661136851
19	0.6658746402
20	0.6656497237
21	0.6652214872
22	0.664761514
23	0.6642605065
24	0.6637670701
25	0.6633986646
26	0.6632335498
27	0.6630043702
28	0.66249427
29	0.6623410957
30	0.6619895101
31	0.6619857172
32	0.6614828346
33	0.6606511684
34	0.660191361
35	0.65989208
36	0.6595707866
37	0.6589911807
38	0.6583981653
39	0.6578026967
40	0.6573224896
41	0.6569298194
42	0.6565338994
43	0.6559639773
44	0.6555180015
45	0.6548798117
46	0.6543518385
47	0.6538992722
48	0.6535615772
49	0.652976193
50	0.6526879419
51	0.6521726363
52	0.6518050035
53	0.6514545458
54	0.6508621969
55	0.6503360819
56	0.6500636276
57	0.649466654
58	0.6489721694
59	0.6486735644
60	0.648063473
61	0.6476310232
62	0.6471134096
63	0.6466339062
64	0.646053121
65	0.645840518
66	0.6455651664
67	0.6450835782
68	0.6447406003
69	0.6441688757
70	0.6436161584
71	0.6431970647
72	0.6427131671
73	0.6423743408
74	0.6417673482
75	0.6414754533
76	0.6409209303
77	0.6405680513
78	0.6399608579
79	0.6393902886
80	0.6388524516
81	0.6385132871
82	0.6381686427
83	0.6378226065
84	0.6373655603
85	0.6369423098
86	0.636689119
87	0.6362217842
88	0.6356863356
89	0.6351541593
90	0.6345396822
91	0.6341837949
92	0.6336778669
93	0.6330993395
94	0.6327022071
95	0.6322260142
96	0.6315479947
97	0.6310800378
98	0.6307375045
99	0.6300840904
100	0.6297358137
101	0.6291755447
102	0.6286738962
103	0.6283973389
104	0.6278048852
105	0.6273463832
106	0.6267853694
107	0.6260105451
108	0.625670856
109	0.6249697553
110	0.6247826035
111	0.6244753042
112	0.6240636108
113	0.6237137517
114	0.6232955429
115	0.6228826406
116	0.6225335009
117	0.6221723081
118	0.6216503349
119	0.6210803614
120	0.6207058305
121	0.6201662356
122	0.6197870807
123	0.6193974093
124	0.6191413185
125	0.6187142504
126	0.6183113784
127	0.6177164828
128	0.6172458521
129	0.6167267959
130	0.6163434425
131	0.6160118689
132	0.6156795115
133	0.6151629894
134	0.6147651848
135	0.6146265457
136	0.6142341617
137	0.6139429591
138	0.6134532323
139	0.6129377109
140	0.6125917112
141	0.6122854235
142	0.6117742047
143	0.6114268124
144	0.6111258193
145	0.6107550818
146	0.6104156104
147	0.6100990616
148	0.6097852639
149	0.6094048091
150	0.6092097661
151	0.6088192339
152	0.6084940367
153	0.6080406051
154	0.6076459984
155	0.6070476144
156	0.6066869194
157	0.6064152202
158	0.6059561496
159	0.6055088897
160	0.6052119893
161	0.6046619134
162	0.6042239151
163	0.6038089538
164	0.6034221626
165	0.6030633829
166	0.6027205336
167	0.6023563485
168	0.6021254497
169	0.6015552181
170	0.6012488042
171	0.6009196647
172	0.600646312
173	0.6004323755
174	0.6001920736
175	0.5997392059
176	0.5992801486
177	0.5989073135
178	0.5985958634
179	0.5981856153
180	0.59784632
181	0.5975899212
182	0.5971985113
183	0.596847469
184	0.5964552237
185	0.5960538455
186	0.5957418298
187	0.5952991177
188	0.5949522035
189	0.5947674549
190	0.5942657391
191	0.5939984635
192	0.5935632782
193	0.5933145663
194	0.592908892
195	0.5926186424
196	0.5922218354
197	0.5916545514
198	0.5911074753
199	0.5906786877
