iter	Passed	Remaining
0	332	66161
1	651	64535
2	1064	69881
3	1578	77365
4	1960	76456
5	2633	85156
6	3296	90899
7	3752	90051
8	4230	89771
9	4886	92837
10	5573	95762
11	6342	99373
12	6836	98341
13	7248	96302
14	7663	94512
15	8064	92742
16	8587	92437
17	9482	95879
18	10733	102249
19	12159	109436
20	13055	111279
21	13689	110756
22	14211	109363
23	14548	106686
24	14854	103979
25	15241	101998
26	15562	99714
27	15891	97616
28	16211	95589
29	16928	95929
30	17600	95951
31	17897	93963
32	18418	93209
33	18910	92330
34	19381	91371
35	19860	90475
36	20759	91453
37	21794	92911
38	22412	92522
39	22881	91526
40	23794	92276
41	24742	93080
42	25227	92107
43	25839	91611
44	26155	90090
45	26511	88757
46	26843	87384
47	27517	87138
48	28265	87102
49	28673	86021
50	29417	85944
51	29763	84712
52	30182	83712
53	30926	83616
54	31450	82913
55	32121	82598
56	32759	82186
57	33080	80990
58	33407	79839
59	33932	79175
60	34472	78551
61	34837	77541
62	35170	76481
63	35499	75437
64	35828	74413
65	36117	73329
66	36412	72281
67	36742	71323
68	37110	70456
69	37444	69539
70	37760	68607
71	38174	67864
72	38521	67016
73	38956	66331
74	39376	65626
75	39965	65206
76	40436	64593
77	40979	64095
78	41558	63653
79	42096	63144
80	42719	62761
81	43122	62053
82	43542	61378
83	44021	60791
84	44652	60412
85	45185	59896
86	45614	59246
87	45979	58519
88	46357	57816
89	46685	57059
90	47065	56374
91	47670	55960
92	48101	55342
93	48475	54663
94	48796	53932
95	49163	53260
96	49551	52616
97	49955	51994
98	50429	51448
99	51125	51125
100	51611	50589
101	52133	50089
102	52627	49561
103	53011	48933
104	53358	48276
105	53675	47598
106	54065	46991
107	54427	46364
108	54778	45732
109	55141	45115
110	55525	44520
111	55879	43905
112	56210	43277
113	56638	42727
114	57152	42242
115	57743	41814
116	58260	41330
117	58697	40789
118	59133	40250
119	59677	39784
120	60156	39275
121	60697	38806
122	61050	38218
123	61675	37801
124	62084	37250
125	62422	36660
126	62764	36077
127	63186	35542
128	63585	34996
129	64134	34533
130	64786	34124
131	65590	33788
132	65992	33244
133	66681	32842
134	67316	32411
135	67921	31962
136	68412	31459
137	68899	30954
138	69228	30380
139	69726	29882
140	70266	29402
141	70825	28928
142	71299	28419
143	71615	27850
144	71939	27287
145	72254	26724
146	72570	26164
147	72888	25609
148	73187	25050
149	73521	24507
150	73824	23956
151	74153	23416
152	74470	22876
153	74797	22342
154	75137	21814
155	75553	21310
156	76157	20858
157	76469	20327
158	76796	19802
159	77280	19320
160	77598	18797
161	77928	18279
162	78259	17764
163	78600	17253
164	79123	16783
165	79707	16325
166	80208	15849
167	80561	15344
168	80934	14846
169	81713	14420
170	82319	13960
171	82835	13484
172	83739	13069
173	84211	12583
174	84596	12085
175	85009	11592
176	85581	11120
177	86138	10646
178	86484	10146
179	86820	9646
180	87125	9145
181	87466	8650
182	87800	8156
183	88147	7664
184	88590	7182
185	89097	6706
186	89414	6216
187	89732	5727
188	90042	5240
189	90348	4755
190	90818	4279
191	91208	3800
192	91731	3327
193	92188	2851
194	92587	2374
195	92894	1895
196	93241	1419
197	93575	945
198	93901	471
199	94228	0
